news_headline,news_article,news_category
Assam CM to contest polls from Majuli; Himanta Biswa to fight from Jalukbari,"The BJP on Friday released a list of 70 candidates for the upcoming three-phase Assam Assembly elections. Chief Minister Sarbananda Sonowal will seek re-election from the Majuli constituency, while the state's Finance Minister Himanta Biswa Sarma will aim to retain his Jalukbari seat. The BJP will fight the polls in alliance with Asom Gana Parishad and United People's Party Liberal.",politics
BJP names ex-Bengal minister Suvendu as Nandigram poll candidate against CM Mamata,"Former West Bengal minister and TMC leader Suvendu Adhikari who joined BJP in December last year will fight in the upcoming state Assembly elections from the Nandigram seat, party general secretary Arun Singh said on Saturday. Bengal CM Mamata Banerjee had earlier said she will be contesting the polls from Nandigram, instead of her current constituency of Bhawanipore.",politics
TMC leader denied poll ticket; his supporters torch party office chairs,"Supporters of Trinamool Congress (TMC) leader Arabul Islam, who was denied a party ticket for the upcoming Assembly elections in West Bengal, set fire to wooden chairs outside a party office on Friday. The incident took place in Bhangar in the state's South 24 Parganas district. ""I've protected the party, giving my everything for so many years,"" said Islam.",politics
Former TMC MP Dinesh Trivedi joins BJP ahead of West Bengal polls,"Former Railway Minister Dinesh Trivedi, who had resigned as TMC MP in Rajya Sabha on February 12, joined BJP at the party headquarters in New Delhi today. He joined the party in the presence of BJP National President JP Nadda and Railway Minister Piyush Goyal. Trivedi had quit as TMC MP citing 'suffocation in the Mamata Banerjee-led party'.",politics
"AIADMK allots 20 Tamil Nadu Assembly seats, Kanyakumari Lok Sabha seat to BJP","Tamil Nadu's ruling party, the All India Anna Dravida Munnetra Kazhagam (AIADMK), has allotted 20 Assembly seats and a Lok Sabha by-poll seat in Kanyakumari to the Bharatiya Janata Party (BJP). The agreement was signed by AIADMK party coordinator O Panneerselvam and joint coordinator Edappadi Palaniswami along with Tamil Nadu BJP chief L Murugan and state election in-charge CT Ravi.",politics
"Activist Akhil Gogoi, jailed over CAA stir, to contest Assam polls from Sibsagar","Activist Akhil Gogoi, who's in jail since December 2019, will contest the upcoming elections in Assam as a candidate of his newly-floated political party Raijor Dal. Gogoi, who was booked under UAPA during protests against CAA, will contest in the elections from Sibsagar. His party released a list of 17 candidates who will contest in the first two election phases.",politics
TMC's Shibpur MLA Jatu Lahiri quits party after being denied poll nomination,"TMC's Shibpur MLA Jatu Lahiri quit the party on Saturday after his name was excluded from the list of the party's candidates for the upcoming West Bengal Assembly elections. Lahiri said his name was ignored by CM Mamata Banerjee even though he was a ""loyal soldier"" of the TMC. Former cricketer Manoj Tiwary is the party's candidate from Howrah's Shibpur.",politics
BJP names Ex-Union Minister Pon Radhakrishnan for Kanniyakumari bypoll ,"BJP on Saturday announced former Member of the Lok Sabha and former Union Minister Pon Radhakrishnan as its candidate for the bypoll to Tamil Nadu's Kanniyakumari Lok Sabha constituency. The constituency fell vacant following Congress MP H Vasanthakumar's death. ""I need no introduction to the people of Kanniyakumari. More than the victories, I have lost many times here,"" Radhakrishnan said.",politics
Central investigative agencies dance to BJP's tunes: Kerala CM,"Kerala CM Pinarayi Vijayan on Saturday alleged that the central investigative agencies ""dance to BJP's tunes"". Vijayan, while addressing BJP and such agencies, said, ""No matter what you do, this land won't blame us."" Vijayan's statement came after Customs officials told Kerala High Court that the accused in a gold smuggling case has made ""shocking revelations"" against Vijayan, among others.",politics
Punjab passes resolution for unconditional withdrawal of farm laws,"The Punjab government on Friday passed a resolution during the state Assembly's Budget session, demanding unconditional withdrawal of three farms laws by the Centre. The resolution, which was moved by CM Captain Amarinder Singh, called the laws ""unacceptable for the farmers as well as the Punjab government"". ""Farmers have never done anything anti-national, they are not anti-national,"" Singh said.",politics
I was waiting for this golden moment: Ex-TMC MP Dinesh Trivedi on joining BJP,"After joining BJP on Saturday, former TMC MP Dinesh Trivedi said, ""It is a golden moment for me and I was waiting for this moment."" He added, ""I'll be active in election process, irrespective of whether I contest or not."" BJP National President JP Nadda said, ""[He] was the right person in wrong party, now he is in right party.""",politics
